full_context,answer,grade,split
"Hearing is basically a specialized form of touch. Sound is simply vibrating air which the ear picks up and converts to electrical signals, which are then interpreted by the brain. The sense of hearing is not the only sense that can do this; touch can do this too. If you are standing by the road and a large truck goes by, do you hear or feel the vibration? The answer is both. With very low frequency vibration the ear starts becoming inefficient and the rest of the bodys sense of touch starts to take over. For some reason we tend to make a distinction between hearing a sound and feeling a vibration, but in reality they are the same thing. Deafness does not mean that you cant hear, only that there is something wrong with the ears. Even someone who is totally deaf can still hear/feel sounds.",1,2,train
"Minorities tend not to have much power or status and may even be dismissed as troublemakers, extremists or simply ‘weirdos’. How, then, do they ever have any influence over the majority? The social psychologist Serge Moscovici claims that the answer lies in their behavioural style, i.e. the way the minority gets its point across. The crucial factor in the success of the suffragette movement was that its supporters were consistent in their views, and this created a considerable degree of social influence. Minorities that are active and organised, who support and defend their position consistently, can create social conflict, doubt and uncertainty among members of the majority, and ultimately this may lead to social change. Such change has often occurred because a minority has converted others to its point of view. Without the influence of minorities, we would have no innovation, no social change. Many of what we now regard as ‘major’ social movements (e.g. Christianity, trade unionism or feminism) were originally due to the influence of an outspoken minority.",1,3,train
"Some distinctions between good and bad are hardwired into our biology. Infants enter the world ready to respond to pain as bad and to sweet (up to a point) as good. In many situations, however, the boundary between good and bad is a reference point that changes over time and depends on the immediate circumstances. Imagine that you are out in the country on a cold night, inadequately dressed for the pouring rain, your clothes soaked. A stinging cold wind completes your misery. As you wander around, you find a large rock that provides some shelter from the fury of the elements. The biologist Michel Cabanac would call the experience of that moment intensely pleasurable because it functions, as pleasure normally does, to indicate the direction of a biologically significant improvement of circumstances. The pleasant relief will not last very long, of course, and you will soon be shivering behind the rock again, driven by your renewed suffering to seek better shelter.",3,3,train
"It is important to recognise the interdependence between individual, culturally formed actions and the state of cultural integration. People work within the forms provided by the cultural patterns that they have internalised, however contradictory these may be. Ideas are worked out as logical implications or consequences of other accepted ideas, and it is in this way that cultural innovations and discoveries are possible. New ideas are discovered through logical reasoning, but such discoveries are inherent in and integral to the conceptual system and are made possible only because of the acceptance of its premises. For example, the discoveries of new prime numbers are ‘real’ consequences of the particular number system employed. Thus, cultural ideas show ‘advances’ and ‘developments’ because they are outgrowths of previous ideas. The cumulative work of many individuals produces a corpus of knowledge within which certain ‘discoveries’ become possible or more likely. Such discoveries are ‘ripe’ and could not have occurred earlier and are also likely to be made simultaneously by numbers of individuals.",1,3,train
"Any attempt to model musical behavior or perception in a general way is filled with difficulties. With regard to models of perception, the question arises of whose perception we are trying to model―even if we confine ourselves to a particular culture and historical environment. Surely the perception of music varies greatly between listeners of different levels of training; indeed, a large part of music education is devoted to developing and enriching (and therefore likely changing) these listening processes. While this may be true, I am concerned here with fairly basic aspects of perception―particularly meter and key―which I believe are relatively consistent across listeners. Anecdotal evidence suggests, for example, that most people are able to ‘‘find the beat’’ in a typical folk song or classical piece. This is not to say that there is complete uniformity in this regard― there may be occasional disagreements, even among experts, as to how we hear the tonality or meter of a piece. But I believe the commonalities between us far outweigh the differences.",4,3,train
"It is important to note that the primary goal of the professional athlete as well as many adults—winning—is far less important to children. In one of our own studies, we found that teams’ won­lost records had nothing to do with how much young athletes liked their coaches or with their desire to play for the same coaches again. Interestingly, however, success of the team was related to how much the children thought their parents liked their coaches. The children also felt that the won­lost record influenced how much their coaches liked them. It appears that, even at very young ages, children begin to tune in to the adult emphasis on winning, even though they do not yet share it themselves. What children do share is a desire to have fun!",2,3,train
"The debates between social and cultural anthropologists concern not the differences between the concepts but the analytical priority: which should come first, the social chicken or the cultural egg? British anthropology emphasizes the social. It assumes that social institutions determine culture and that universal domains of society (such as kinship, economy, politics, and religion) are represented by specific institutions (such as the family, subsistence farming, the British Parliament, and the Church of England) which can be compared cross-culturally. American anthropology emphasizes the cultural. It assumes that culture shapes social institutions by providing the shared beliefs, the core values, the communicative tools, and so on that make social life possible. It does not assume that there are universal social domains, preferring instead to discover domains empirically as aspects of each society’s own classificatory schemes ― in other words, its culture. And it rejects the notion that any social institution can be understood in isolation from its own context.",2,3,train
"Education, at its best, teaches more than just knowledge. It teaches critical thinking: the ability to stop and think before acting, to avoid succumbing to emotional pressures. This is not thought control. It is the very reverse: mental liberation. Even the most advanced intellectual will be imperfect at this skill. But even imperfect possession of it frees a person from the burden of being ‘stimulus-driven’, constantly reacting to the immediate environment, the brightest colours or loudest sounds. Being driven by heuristic responses, living by instinct and emotion all the time, is a very easy way to live, in many ways: thought is effortful, especially for the inexperienced. But emotions are also exhausting, and short-term reactions may not, in the long term, be the most beneficial for health and survival. Just as we reach for burgers for the sake of convenience, storing up the arterial fat which may one day kill us, so our reliance on feelings can do us great harm.",3,3,train
"The growth of academic disciplines and sub-disciplines, such as art history or palaeontology, and of particular figures such as the art critic, helped produce principles and practices for selecting and organizing what was worthy of keeping, though it remained a struggle. Moreover, as museums and universities drew further apart toward the end of the nineteenth century, and as the idea of objects as a highly valued route to knowing the world went into decline, collecting began to lose its status as a worthy intellectual pursuit, especially in the sciences. The really interesting and important aspects of science were increasingly those invisible to the naked eye, and the classification of things collected no longer promised to produce cutting-edge knowledge. The term “butterfly collecting” could come to be used with the adjective “mere” to indicate a pursuit of secondary academic status.",3,3,train
"People have always needed to eat, and they always will. Rising emphasis on self-expression values does not put an end to material desires. But prevailing economic orientations are gradually being reshaped. People who work in the knowledge sector continue to seek high salaries, but they place equal or greater emphasis on doing stimulating work and being able to follow their own time schedules. Consumption is becoming progressively less determined by the need for sustenance and the practical use of the goods consumed. People still eat, but a growing component of food’s value is determined by its nonmaterial aspects. People pay a premium to eat exotic cuisines that provide an interesting experience or that symbolize a distinctive life-style. The publics of postindustrial societies place growing emphasis on “political consumerism,” such as boycotting goods whose production violates ecological or ethical standards. Consumption is less and less a matter of sustenance and more and more a question of life-style―and choice.",2,3,train
"The concept of humans doing multiple things at a time has been studied by psychologists since the 1920s, but the term “multitasking” didn’t exist until the 1960s. It was used to describe computers, not people. Back then, ten megahertz was so fast that a new word was needed to describe a computer’s ability to quickly perform many tasks. In retrospect, they probably made a poor choice, for the expression “multitasking” is inherently deceptive. Multitasking is about multiple tasks alternately sharing one resource (the CPU), but in time the context was flipped and it became interpreted to mean multiple tasks being done simultaneously by one resource (a person). It was a clever turn of phrase that’s misleading, for even computers can process only one piece of code at a time. When they “multitask,” they switch back and forth, alternating their attention until both tasks are done. The speed with which computers tackle multiple tasks that feeds the illusion everything happens at the same time, so comparing computers to humans can be confusing.",2,3,train
"One vivid example of how a market mindset can transform and undermine an institution is given by Dan Ariely in his book Predictably Irrational. He tells the story of a day care center in Israel that decided to fine parents who arrived late to pick up their children, in the hope that this would discourage them from doing so. In fact, the exact opposite happened. Before the imposition of fines, parents felt guilty about arriving late, and guilt was effective in ensuring that only a few did so. Once a fine was introduced, it seems that in the minds of the parents the entire scenario was changed from a social contract to a market one. Essentially, they were paying for the center to look after their children after hours. Some parents thought it worth the price, and the rate of late arrivals increased. Significantly, once the center abandoned the fines and went back to the previous arrangement, late arrivals remained at the high level they had reached during the period of the fines.",5,2,train
"Negative numbers are a lot more abstract than positive numbers—you can’t see negative 4 cookies and you certainly can’t eat them—but you can think about them, and you have to, in all aspects of daily life, from debts to contending with freezing temperatures and parking garages. Still, many of us haven’t quite made peace with negative numbers. People have invented all sorts of funny little mental strategies to sidestep the dreaded negative sign. On mutual fund statements, losses (negative numbers) are printed in red or stuck in parentheses with no negative sign to be found. The history books tell us that Julius Caesar was born in 100 B.C., not -100. The underground levels in a parking garage often have designations like B1 and B2. Temperatures are one of the few exceptions: folks do say, especially here in Ithaca, New York, that it’s -5 degrees outside, though even then, many prefer to say 5 below zero. There’s something about that negative sign that just looks so unpleasant.",1,2,train
"We are now imposing ourselves on nature, instead of the other way around. Perhaps the clearest way to see this is to look at changes in the biomass—the total worldwide weight—of mammals. A long time ago, all of us humans together probably weighed only about two-thirds as much as all the bison in North America, and less than one-eighth as much as all the elephants in Africa. But in the Industrial Era our population exploded and we killed bison and elephants at industrial scale and in terrible numbers. The balance shifted greatly as a result. At present, we humans weigh more than 350 times as much as all bison and elephants put together. We weigh over ten times more than all the earth’s wild mammals combined. And if we add in all the mammals we’ve domesticated—cattle, sheep, pigs, horses, and so on—the comparison becomes truly ridiculous: we and our tamed animals now represent 97 percent of the earth’s mammalian biomass. This comparison illustrates a fundamental point: instead of being limited by the environment, we learned to shape it to our own ends.",1,2,train
"When children are very young, you first say no to protect them from danger. You say it because you love your child and because you must teach him to protect himself. Just as saying no is a tool to help ensure your child’s physical safety, it also contributes to his emotional security. When you set limits on your child’s behavior, whether it’s telling a five-year-old he can’t hit the baby or telling a teenager he can’t stay out past midnight, you’re letting him know that his actions don’t happen in a vacuum. He is connected to someone(you) who watches and cares what he does. All children need a safe space in which to grow and develop. While it’s a child’s nature to test the limits of that space, by climbing higher, venturing farther, or asking for more of what he wants, it’s also comforting for him to know he is not out there alone.",2,2,train
"Elinor Ostrom found that there are several factors critical to bringing about stable institutional solutions to the problem of the commons. She pointed out, for instance, that the actors affected by the rules for the use and care of resources must have the right to participate in decisions to change the rules. For that reason, the people who monitor and control the behavior of users should also be users and/or have been given a mandate by all users. This is a significant insight, as it shows that prospects are poor for a centrally directed solution to the problem of the commons coming from a state power in comparison with a local solution for which users assume personal responsibility. Ostrom also emphasizes the importance of democratic decision processes and that all users must be given access to local forums for solving problems and conflicts among themselves. Political institutions at central, regional, and local levels must allow users to devise their own regulations and independently ensure observance.",1,3,train
"Once we own something, we’re far more likely to overvalue it. In a study conducted at Duke University, students who won basketball tickets in an extremely onerous lottery (one that they had to wait in line to enter for more than a day) said they wouldn’t sell their tickets for less than, on average, $2,400. But students who had waited and hadn’t won said they would only pay, on average, $170 per ticket. Once a student owned the tickets, he or she saw them as being worth much more in the market than they were. In another example, during the housing market crash of 2008, a real estate website conducted a survey to see how homeowners felt the crash affected the price of their homes. 92% of respondents, aware of nearby foreclosures, asserted these had hurt the price of homes in their neighborhood. However, when asked about the price of their own home, 62% believed it had increased.",1,2,train
"Research and development for seed improvement has long been a public domain and government activity for the common good. However, private capital started to flow into seed production and took it over as a sector of the economy, creating an artificial split between the two aspects of the seed’s nature: its role as means of production and its role as product. This process gained pace after the invention of hybrid breeding of maize in the late 1920s. Today most maize seed cultivated are hybrids. The companies that sell them are able to keep the distinct parent lines from farmers, and the grain that they produce is not suited for seed saving and replanting. The combination guarantees that farmers will have to buy more seed from the company each season. In the 1990s the extension of patent laws as the only intellectual property rights tool into the area of seed varieties started to create a growing market for private seed companies.",1,3,train
"Jeffrey A. Rodgers, a vice president of a big company, was once taught the simple idea of pausing to refresh. It began when Jeff realized that as he drove home from work each evening his mind was still focused on work­related projects. We all know this feeling. We may have left the office physically, but we are very much still there mentally, as our minds get caught in the endless loop of replaying the events of today and worrying about all the things we need to get done the following day. So now, as he gets to the door of his house, he applies what he calls “the pause that refreshes.” He stops for just a moment. He closes his eyes. He breathes in and out once: deeply and slowly. As he exhales, he lets the work issues fall away. This allows him to walk through the front door to his family with more singleness of purpose. It supports the sentiment attributed to Lao Tzu: “In work, do what you enjoy. In family life, be completely present.”",1,3,train
"At the heart of individualism lies the belief that each individual person constitutes the center of one’s universe. At first glance, this seems to be a view that most people would not openly embrace. We are, after all, frequently told to look out for and care about others. Moreover, no one really likes a person who is obviously self­centered. However, we all have to admit that the tug toward a self­centered life is strong, and this tempts us to hide selfish intentions by using the language of unselfishness. If we are honest, we will admit that many things we claim to do sacrificially or just because they are right are exactly the same actions that bring us personal benefit. With a bit of unbiased examination of our motives, it is hard to deny that we have a strong bias toward our individual interests. Thus, despite what we may say to the contrary, it is not hard to make the case that we are more self­centered than we are willing to admit.",4,3,train
"Feedback is usually most effective when you offer it at the earliest opportunity, particularly if your objective is to teach someone a skill. For example, if you are teaching your friend how to make your famous egg rolls, you provide a step-by-step commentary as you watch your pupil. If he makes a mistake, you don’t wait until the egg rolls are finished to tell him that he left out the cabbage. He needs immediate feedback to finish the rest of the sequence successfully.",1,3,train
"Correlations are powerful because the insights they offer are relatively clear. These insights are often covered up when we bring causality back into the picture. For instance, a used-car dealer supplied data to statisticians to predict which of the vehicles available for purchase at an auction were likely to have problems. A correlation analysis showed that orange-colored cars were far less likely to have defects. Even as we read this, we already think about why it might be so: Are orange-colored car owners likely to be car enthusiasts and take better care of their vehicles? Or, is it because orange-colored cars are more noticeable on the road and therefore less likely to be in accidents, so they’re in better condition when resold? Quickly we are caught in a web of competing causal hypotheses. But our attempts to illuminate things this way only make them cloudier. Correlations exist; we can show them mathematically. We can’t easily do the same for causal links. So we would do well to hold off from trying to explain the reason behind the correlations.",5,2,train
"Problems can be distinguished according to whether they are reasonable or unreasonable. Reasonable problems are of the kind that can be solved in a step-by-step manner. A crossword puzzle is of this nature. Given a sufficient vocabulary, the empty spaces can be filled in one by one. Unreasonable problems, in contrast, cannot be treated this way because the task contains some ‘trick’ or ‘catch’ that must be understood before someone can arrive at a solution.",1,3,train
"Typically an individual cannot accurately assess the gains and costs likely to occur in social interactions. Even the intrinsic satisfactions associated with the individual’s own behaviors may turn sour if the other person somehow does the wrong thing. For example, a person may derive intrinsic satisfaction from helping others; so if the recipient reciprocates favor for favor, both intrinsic and extrinsic satisfaction derive from the profitable interaction. However, the recipient may ignore or even resent the good­intended gesture as patronizing and may verbally abuse the favor doer, thereby increasing the costs, perhaps spoiling the intrinsic satisfaction (gain) of the behavior, and hence leaving the favor doer with a net loss for the interaction. The consequences of interaction can be difficult to foresee because they depend as much on the behavior of others as on oneself.",3,3,train
"We might think that our gut instinct is just an inner feeling —a secret interior voice—but in fact it is shaped by a perception of something visible around us, such as a facial expression or a visual inconsistency so fleeting that often we’re not even aware we’ve noticed it. Psychologists now think of this moment as a ‘visual matching game’. So a stressed, rushed or tired person is more likely to resort to this visual matching. When they see a situation in front of them, they quickly match it to a sea of past experiences stored in a mental knowledge bank and then, based on a match, they assign meaning to the information in front of them. The brain then sends a signal to the gut, which has many hundreds of nerve cells. So the visceral feeling we get in the pit of our stomach and the butterflies we feel are a(n) result of our cognitive processing system.",1,2,train
"Young contemporary artists who employ digital technologies in their practice rarely make reference to computers. For example, Wade Guyton, an abstractionist who uses a word processing program and inkjet printers, does not call himself a computer artist. Moreover, some critics, who admire his work, are little concerned about his extensive use of computers in the art-making process. This is a marked contrast from three decades ago when artists who utilized computers were labeled by critics―often disapprovingly―as computer artists. For the present generation of artists, the computer, or more appropriately, the laptop, is one in a collection of integrated, portable digital technologies that link their social and working life. With tablets and cell phones surpassing personal computers in Internet usage, and as slim digital devices resemble nothing like the room-sized mainframes and bulky desktop computers of previous decades, it now appears that the computer artist is finally extinct.",5,3,train
"When scientists describe tool use by human beings, it is usually in terms of mechanical tools. This may apply to tools such as a sharpened flint blade or an electric drill. The key point is that the tool is thought of as passive and with a small number of predetermined uses. The digital revolution has begun to change this landscape in a significant way. Tools are now being developed with a general function in mind, but they are not predetermined in their operations. As a result, it is not possible to predict the outcome of their use. For example, the personal computer is designed for the general function of handling and processing information, but exactly how the PC is used is not predetermined. Therefore, for some, it may offer a means of communication; for others, a sophisticated means of managing accounts; and for yet others, an entertainment platform.",2,3,train
"Apocalypse Now, a film produced and directed by Francis Ford Coppola, gained widespread popularity, and for good reason. The film is an adaptation of Joseph Conrad’s novel Heart of Darkness, which is set in the African Congo at the end of the 19th century. Unlike the original novel, Apocalypse Now is set in Vietnam and Cambodia during the Vietnam War. The setting, time period, dialogue and other incidental details are changed but the fundamental narrative and themes of Apocalypse Now are the same as those of Heart of Darkness. Both describe a physical journey, reflecting the central character’s mental and spiritual journey, down a river to confront the deranged Kurtz character, who represents the worst aspects of civilisation. By giving Apocalypse Now a setting that was contemporary at the time of its release, audiences were able to experience and identify with its themes more easily than they would have if the film had been a literal adaptation of the novel.",1,3,train
"Veblen goods are named after Thorstein Veblen, a US economist who formulated the theory of conspicuous consumption . They are strange because demand for them increases as their price rises. According to Veblen, these goods must signal high status. A willingness to pay higher prices is due to a desire to advertise wealth rather than to acquire better quality. A true Veblen good, therefore, should not be noticeably higher quality than the lower-priced equivalents. If the price falls so much that it is no longer high enough to exclude the less well off, the rich will stop buying it. There is much evidence of this behavior in the markets for luxury cars, champagne, watches, and certain clothing labels. A reduction in prices might see a temporary increase in sales for the seller, but then sales will begin to fall.",5,2,train
"There is something deeply paradoxical about the professional status of sports journalism, especially in the medium of print. In discharging their usual responsibilities of description and commentary, reporters’ accounts of sports events are eagerly consulted by sports fans, while in their broader journalistic role of covering sport in its many forms, sports journalists are among the most visible of all contemporary writers. The ruminations of the elite class of ‘celebrity’ sports journalists are much sought after by the major newspapers, their lucrative contracts being the envy of colleagues in other ‘disciplines’ of journalism. Yet sports journalists do not have a standing in their profession that corresponds to the size of their readerships or of their pay packets, with the old saying (now reaching the status of cliché) that sport is the ‘toy department of the news media’ still readily to hand as a dismissal of the worth of what sports journalists do. This reluctance to take sports journalism seriously produces the paradoxical outcome that sports newspaper writers are much read but little admired.",2,3,train
"While there is no denying that exceptional players like Emmitt Smith can put points on the board and enhance team success, new research suggests there is a limit to the benefit top talents bring to a team. Researchers compared the amount of individual talent on teams with the teams’ success, and they found striking examples of more talent hurting the team. The researchers looked at three sports: basketball, soccer, and baseball. In each sport, they calculated both the percentage of top talent on each team and the teams’ success over several years. For both basketball and soccer, they found that top talent did in fact predict team success, but only up to a point. Furthermore, there was not simply a point of diminishing returns with respect to top talent; there was in fact a cost. Basketball and soccer teams with the greatest proportion of elite athletes performed worse than those with more moderate proportions of top level players.",1,3,train
"In A Theory of Adaptation, Linda Hutcheon argues that “An adaptation is not vampiric: it does not draw the life­blood from its source and leave it dying or dead, nor is it paler than the adapted work. It may, on the contrary, keep that prior work alive, giving it an afterlife it would never have had otherwise.” Hutcheon’s refusal to see adaptation as “vampiric” is particularly inspiring for those of us who do work on adaptations. The idea of an “afterlife” of texts, of seeing what comes before as an inspiration for what comes now, is, by its very definition, keeping works “alive.” Adaptations for young adults, in particular, have the added benefit of engaging the young adult reader with both then and now, past and present—functioning as both “monuments” to history and the “flesh” of the reader’s lived experience. While this is true for adaptations in general, it is especially important for those written with young adults in mind. Such adaptations allow young readers to make personal connections with texts that might otherwise come across as old­fashioned or irrelevant.",1,3,train
"In the 20th century, average life expectancy in the United States rose by nearly 30 years. The vast majority of that increase is credited to advances in public health, rather than advances in medical care, and legal interventions played a critical role in these advances. For example, requirements that children be vaccinated before they attend school played a central role in reducing occurrence of vaccine­preventable diseases. Smallpox and polio, which were once feared and deadly diseases, were eliminated from the Western Hemisphere (with smallpox eliminated worldwide), while the number of new measles cases dropped from more than 300,000 in 1950 to fewer than 100 in 2000. Likewise, following the introduction of extensive vehicle and roadway safety laws starting in the mid­1960s, the number of highway deaths decreased from roughly 51,000 in 1966 to 42,000 in 2000, even as the number of miles driven per year increased nearly 300%.",5,3,train
"This feature frustrates any step-by-step process that proceeds without the realization that “things aren’t what they seem.” Hence, successful problem solving in these cases requires that the person acquire an insight into the nature of the trick.",1,3,train
"One of the primary ways by which music is able to take on significance in our inner world is by the way it interacts with memory. Memories associated with important emotions tend to be more deeply embedded in our memory than other events. Emotional memories are more likely to be vividly remembered and are more likely to be recalled with the passing of time than neutral memories. Since music can be extremely emotionally evocative, key life events can be emotionally heightened by the presence of music, ensuring that memories of the event become deeply encoded. Retrieval of those memories is then enhanced by contextual effects, in which a recreation of a similar context to that in which the memories were encoded can facilitate their retrieval. Thus, re-hearing the same music associated with the event can activate intensely vivid memories of the event.",3,2,train
"One of the key contributions of critical theorists concerns the production of knowledge. Given that the transmission of knowledge is an integral activity in schools, critical scholars in the field of education have been especially concerned with how knowledge is produced. The scholars argue that a key element of social injustice involves the claim that particular knowledge is objective, neutral, and universal. An approach based on critical theory calls into question the idea that objectivity is desirable or even possible. The term used to describe this way of thinking about knowledge is that knowledge is socially constructed. When we refer to knowledge as socially constructed we mean that knowledge is reflective of the values and interests of those who produce it. This concept captures the understanding that all knowledge and all means of knowing are connected to a social context.",2,3,train
"If one looks at the Oxford definition, one gets the sense that post-truth is not so much a claim that truth does not exist as that facts are subordinate to our political point of view. The Oxford definition focuses on “what” post-truth is: the idea that feelings sometimes matter more than facts. But just as important is the next question, which is why this ever occurs. Someone does not argue against an obvious or easily confirmable fact for no reason; he or she does so when it is to his or her advantage. When a person’s beliefs are threatened by an “inconvenient fact,” sometimes it is preferable to challenge the fact. This can happen at either a conscious or unconscious level (since sometimes the person we are seeking to convince is ourselves), but the point is that this sort of post-truth relationship to facts occurs only when we are seeking to assert something that is more important to us than the truth itself.",5,3,train
"Centralized, formal rules can facilitate productive activity by establishing roles and practices. The rules of baseball don’t just regulate the behavior of the players; they determine the behavior that constitutes playing the game. Rules do not prevent people from playing baseball; they create the very practice that allows people to play baseball. A score of music imposes rules, but it also creates a pattern of conduct that enables people to produce music. Legal rules that enable the formation of corporations, that enable the use of wills and trusts, that create negotiable instruments, and that establish the practice of contracting all make practices that create new opportunities for individuals. And we have legal rules that establish roles individuals play within the legal system, such as judges, trustees, partners, and guardians. True, the legal rules that establish these roles constrain the behavior of individuals who occupy them, but rules also create the roles themselves. Without them an individual would not have the opportunity to occupy the role.",5,3,train
"When examining the archaeological record of human culture, one has to consider that it is vastly incomplete. Many aspects of human culture have what archaeologists describe as low archaeological visibility, meaning they are difficult to identify archaeologically. Archaeologists tend to focus on tangible (or material) aspects of culture: things that can be handled and photographed, such as tools, food, and structures. Reconstructing intangible aspects of culture is more difficult, requiring that one draw more inferences from the tangible. It is relatively easy, for example, for archaeologists to identify and draw inferences about technology and diet from stone tools and food remains. Using the same kinds of physical remains to draw inferences about social systems and what people were thinking about is more difficult. Archaeologists do it, but there are necessarily more inferences involved in getting from physical remains recognized as trash to making interpretations about belief systems.",3,3,train
