input,target,grade,split
"Context: Hearing is basically a specialized form of touch. Sound is simply vibrating air which the ear picks up and converts to electrical signals, which are then interpreted by the brain. The sense of hearing is not the only sense that can do this; touch can do this too. If you are standing by the road and a large truck goes by, do you hear or feel the vibration? The answer is both. With very low frequency vibration the ear starts becoming inefficient and the rest of the bodys sense of touch starts to take over. For some reason we tend to make a distinction between hearing a sound and feeling a vibration, but in reality they are the same thing. Deafness does not mean that you cant hear, only that there is something wrong with the ears. Even someone who is totally deaf can still hear/feel sounds.
Answer: a specialized form of touch
Explain:","Because hearing and touch both detect vibrations, describing hearing as “a specialized form of touch” accurately captures their shared mechanism. The other choices do not reflect this equivalence between sensing sound and vibration.",2,train
"Context: Minorities tend not to have much power or status and may even be dismissed as troublemakers, extremists or simply ‘weirdos’. How, then, do they ever have any influence over the majority? The social psychologist Serge Moscovici claims that the answer lies in their behavioural style, i.e. the way the minority gets its point across. The crucial factor in the success of the suffragette movement was that its supporters were consistent in their views, and this created a considerable degree of social influence. Minorities that are active and organised, who support and defend their position consistently, can create social conflict, doubt and uncertainty among members of the majority, and ultimately this may lead to social change. Such change has often occurred because a minority has converted others to its point of view. Without the influence of minorities, we would have no innovation, no social change. Many of what we now regard as ‘major’ social movements (e.g. Christianity, trade unionism or feminism) were originally due to the influence of an outspoken minority.
Answer: the minority gets its point across
Explain:","In the explanation of how minority groups influence the majority, the key point is their manner of action—specifically, ""how the minority gets its point across."" Therefore, option 1 is the most appropriate choice.",3,train
"Context: Some distinctions between good and bad are hardwired into our biology. Infants enter the world ready to respond to pain as bad and to sweet (up to a point) as good. In many situations, however, the boundary between good and bad is a reference point that changes over time and depends on the immediate circumstances. Imagine that you are out in the country on a cold night, inadequately dressed for the pouring rain, your clothes soaked. A stinging cold wind completes your misery. As you wander around, you find a large rock that provides some shelter from the fury of the elements. The biologist Michel Cabanac would call the experience of that moment intensely pleasurable because it functions, as pleasure normally does, to indicate the direction of a biologically significant improvement of circumstances. The pleasant relief will not last very long, of course, and you will soon be shivering behind the rock again, driven by your renewed suffering to seek better shelter.
Answer: a biologically significant improvement of circumstances
Explain:","In the example, a person is outside in the countryside on a cold, rainy night, soaked to the skin and suffering greatly from the cold wind. When they find a large rock that provides shelter from the bad weather, this experience represents a slight improvement for the suffering individual as a living being. Therefore, ""a biologically significant improvement of circumstances"" is the most appropriate choice for the blank.",3,train
"Context: It is important to recognise the interdependence between individual, culturally formed actions and the state of cultural integration. People work within the forms provided by the cultural patterns that they have internalised, however contradictory these may be. Ideas are worked out as logical implications or consequences of other accepted ideas, and it is in this way that cultural innovations and discoveries are possible. New ideas are discovered through logical reasoning, but such discoveries are inherent in and integral to the conceptual system and are made possible only because of the acceptance of its premises. For example, the discoveries of new prime numbers are ‘real’ consequences of the particular number system employed. Thus, cultural ideas show ‘advances’ and ‘developments’ because they are outgrowths of previous ideas. The cumulative work of many individuals produces a corpus of knowledge within which certain ‘discoveries’ become possible or more likely. Such discoveries are ‘ripe’ and could not have occurred earlier and are also likely to be made simultaneously by numbers of individuals.
Answer: are outgrowths of previous ideas
Explain:","It is mentioned that the innovation and discovery of new ideas are possible with the influence and result of the already accepted ideas. Cultural ideas will also be able to progress and develop in the same context. Thus, the most appropriate thing to enter the bark is are outgrowths of previous ideas.",3,train
"Context: Any attempt to model musical behavior or perception in a general way is filled with difficulties. With regard to models of perception, the question arises of whose perception we are trying to model―even if we confine ourselves to a particular culture and historical environment. Surely the perception of music varies greatly between listeners of different levels of training; indeed, a large part of music education is devoted to developing and enriching (and therefore likely changing) these listening processes. While this may be true, I am concerned here with fairly basic aspects of perception―particularly meter and key―which I believe are relatively consistent across listeners. Anecdotal evidence suggests, for example, that most people are able to ‘‘find the beat’’ in a typical folk song or classical piece. This is not to say that there is complete uniformity in this regard― there may be occasional disagreements, even among experts, as to how we hear the tonality or meter of a piece. But I believe the commonalities between us far outweigh the differences.
Answer: the commonalities between us far outweigh the differences
Explain:","Attempts to create a model of musical behavior or perception are difficult due to individual differences, but it is a claim that it is relatively consistent in terms of basic perception of music. Thus, the most appropriate thing to enter the bark is the commonalities between us far outweigh the differences.",3,train
"Context: It is important to note that the primary goal of the professional athlete as well as many adults—winning—is far less important to children. In one of our own studies, we found that teams’ won­lost records had nothing to do with how much young athletes liked their coaches or with their desire to play for the same coaches again. Interestingly, however, success of the team was related to how much the children thought their parents liked their coaches. The children also felt that the won­lost record influenced how much their coaches liked them. It appears that, even at very young ages, children begin to tune in to the adult emphasis on winning, even though they do not yet share it themselves. What children do share is a desire to have fun!
Answer: adult emphasis
Explain:",Children notice the importance adults place on winning—parents’ and coaches’ attitudes—even though they themselves are motivated by fun; only “adult emphasis” captures this influence. The other choices do not explain why children tune into external attitudes about winning.,3,train
"Context: The debates between social and cultural anthropologists concern not the differences between the concepts but the analytical priority: which should come first, the social chicken or the cultural egg? British anthropology emphasizes the social. It assumes that social institutions determine culture and that universal domains of society (such as kinship, economy, politics, and religion) are represented by specific institutions (such as the family, subsistence farming, the British Parliament, and the Church of England) which can be compared cross-culturally. American anthropology emphasizes the cultural. It assumes that culture shapes social institutions by providing the shared beliefs, the core values, the communicative tools, and so on that make social life possible. It does not assume that there are universal social domains, preferring instead to discover domains empirically as aspects of each society’s own classificatory schemes ― in other words, its culture. And it rejects the notion that any social institution can be understood in isolation from its own context.
Answer: in isolation from its own context
Explain:","In American cultural anthropology, there is no assumption of universal social domains; instead, each society is empirically discovered according to its own cultural aspects. This means that social institutions are understood with consideration of their own cultural context, rather than in isolation from it. Therefore, ""in isolation from its own context"" is the most appropriate choice for the blank.",3,train
"Context: Education, at its best, teaches more than just knowledge. It teaches critical thinking: the ability to stop and think before acting, to avoid succumbing to emotional pressures. This is not thought control. It is the very reverse: mental liberation. Even the most advanced intellectual will be imperfect at this skill. But even imperfect possession of it frees a person from the burden of being ‘stimulus-driven’, constantly reacting to the immediate environment, the brightest colours or loudest sounds. Being driven by heuristic responses, living by instinct and emotion all the time, is a very easy way to live, in many ways: thought is effortful, especially for the inexperienced. But emotions are also exhausting, and short-term reactions may not, in the long term, be the most beneficial for health and survival. Just as we reach for burgers for the sake of convenience, storing up the arterial fat which may one day kill us, so our reliance on feelings can do us great harm.
Answer: frees a person from the burden
Explain:","Education is an article that teaches the ability to avoid surrendering into emotional pressure by causing critical thinking and bringing mental liberation. Therefore, the most appropriate word for the blank is frees a person from the burden.",3,train
"Context: The growth of academic disciplines and sub-disciplines, such as art history or palaeontology, and of particular figures such as the art critic, helped produce principles and practices for selecting and organizing what was worthy of keeping, though it remained a struggle. Moreover, as museums and universities drew further apart toward the end of the nineteenth century, and as the idea of objects as a highly valued route to knowing the world went into decline, collecting began to lose its status as a worthy intellectual pursuit, especially in the sciences. The really interesting and important aspects of science were increasingly those invisible to the naked eye, and the classification of things collected no longer promised to produce cutting-edge knowledge. The term “butterfly collecting” could come to be used with the adjective “mere” to indicate a pursuit of secondary academic status.
Answer: secondary
Explain:","As things that are invisible to the naked eye become interesting and important aspects of science, collection is a story that has lost its status in science. As a very valuable path to know the world, collections such as “butterfly collection”, which gathers the targets, have no longer a good way to produce cutting -edge knowledge, so that the academic status is lowered. Therefore, the most appropriate thing to enter the bark is secondary.",3,train
"Context: People have always needed to eat, and they always will. Rising emphasis on self-expression values does not put an end to material desires. But prevailing economic orientations are gradually being reshaped. People who work in the knowledge sector continue to seek high salaries, but they place equal or greater emphasis on doing stimulating work and being able to follow their own time schedules. Consumption is becoming progressively less determined by the need for sustenance and the practical use of the goods consumed. People still eat, but a growing component of food’s value is determined by its nonmaterial aspects. People pay a premium to eat exotic cuisines that provide an interesting experience or that symbolize a distinctive life-style. The publics of postindustrial societies place growing emphasis on “political consumerism,” such as boycotting goods whose production violates ecological or ethical standards. Consumption is less and less a matter of sustenance and more and more a question of life-style―and choice.
Answer: nonmaterial
Explain:","Although eating is essential to survival, the public in a post-industrial society values food as much as or more than that material need, such as interesting experiences, expressions of unique lifestyles, and compliance with ecological or ethical standards, so nonmaterial is most appropriate to put it in the blank.",3,train
"Context: The concept of humans doing multiple things at a time has been studied by psychologists since the 1920s, but the term “multitasking” didn’t exist until the 1960s. It was used to describe computers, not people. Back then, ten megahertz was so fast that a new word was needed to describe a computer’s ability to quickly perform many tasks. In retrospect, they probably made a poor choice, for the expression “multitasking” is inherently deceptive. Multitasking is about multiple tasks alternately sharing one resource (the CPU), but in time the context was flipped and it became interpreted to mean multiple tasks being done simultaneously by one resource (a person). It was a clever turn of phrase that’s misleading, for even computers can process only one piece of code at a time. When they “multitask,” they switch back and forth, alternating their attention until both tasks are done. The speed with which computers tackle multiple tasks that feeds the illusion everything happens at the same time, so comparing computers to humans can be confusing.
Answer: feeds the illusion
Explain:","The passage explains that although a computer actually processes only one task at a time, its processing speed is so fast that it appears as if multiple tasks are happening simultaneously. In other words, the computer’s rapid processing speed creates the illusion that “everything is happening at once.” Therefore, “feeds the illusion,” which means “causes the illusion,” is the most appropriate choice for the blank.",3,train
"Context: One vivid example of how a market mindset can transform and undermine an institution is given by Dan Ariely in his book Predictably Irrational. He tells the story of a day care center in Israel that decided to fine parents who arrived late to pick up their children, in the hope that this would discourage them from doing so. In fact, the exact opposite happened. Before the imposition of fines, parents felt guilty about arriving late, and guilt was effective in ensuring that only a few did so. Once a fine was introduced, it seems that in the minds of the parents the entire scenario was changed from a social contract to a market one. Essentially, they were paying for the center to look after their children after hours. Some parents thought it worth the price, and the rate of late arrivals increased. Significantly, once the center abandoned the fines and went back to the previous arrangement, late arrivals remained at the high level they had reached during the period of the fines.
Answer: a market mindset can transform and undermine an institution
Explain:","Introducing a fine shifted the parents’ perception from a moral obligation to a transactional arrangement, illustrating how a market mindset undermined the original social contract. The other options do not capture this shift from social to market norms.",2,train
"Context: Negative numbers are a lot more abstract than positive numbers—you can’t see negative 4 cookies and you certainly can’t eat them—but you can think about them, and you have to, in all aspects of daily life, from debts to contending with freezing temperatures and parking garages. Still, many of us haven’t quite made peace with negative numbers. People have invented all sorts of funny little mental strategies to sidestep the dreaded negative sign. On mutual fund statements, losses (negative numbers) are printed in red or stuck in parentheses with no negative sign to be found. The history books tell us that Julius Caesar was born in 100 B.C., not -100. The underground levels in a parking garage often have designations like B1 and B2. Temperatures are one of the few exceptions: folks do say, especially here in Ithaca, New York, that it’s -5 degrees outside, though even then, many prefer to say 5 below zero. There’s something about that negative sign that just looks so unpleasant.
Answer: sidestep the dreaded negative sign
Explain:","The passage emphasizes how people avoid directly confronting negative numbers, using alternative symbols and naming conventions to make them more palatable. These strategies serve to avoid the discomfort of the negative sign itself, making sidestep the dreaded negative sign the most fitting choice. Other options misrepresent the core idea or focus on unrelated aspects like calculation or system unification.",2,train
"Context: We are now imposing ourselves on nature, instead of the other way around. Perhaps the clearest way to see this is to look at changes in the biomass—the total worldwide weight—of mammals. A long time ago, all of us humans together probably weighed only about two-thirds as much as all the bison in North America, and less than one-eighth as much as all the elephants in Africa. But in the Industrial Era our population exploded and we killed bison and elephants at industrial scale and in terrible numbers. The balance shifted greatly as a result. At present, we humans weigh more than 350 times as much as all bison and elephants put together. We weigh over ten times more than all the earth’s wild mammals combined. And if we add in all the mammals we’ve domesticated—cattle, sheep, pigs, horses, and so on—the comparison becomes truly ridiculous: we and our tamed animals now represent 97 percent of the earth’s mammalian biomass. This comparison illustrates a fundamental point: instead of being limited by the environment, we learned to shape it to our own ends.
Answer: imposing ourselves on nature
Explain:","The passage shows humans and domestic mammals now dominate mammalian biomass, illustrating that humans actively shape the environment rather than being shaped by it. Only “imposing ourselves on nature” captures this reversal.",2,train
"Context: When children are very young, you first say no to protect them from danger. You say it because you love your child and because you must teach him to protect himself. Just as saying no is a tool to help ensure your child’s physical safety, it also contributes to his emotional security. When you set limits on your child’s behavior, whether it’s telling a five-year-old he can’t hit the baby or telling a teenager he can’t stay out past midnight, you’re letting him know that his actions don’t happen in a vacuum. He is connected to someone(you) who watches and cares what he does. All children need a safe space in which to grow and develop. While it’s a child’s nature to test the limits of that space, by climbing higher, venturing farther, or asking for more of what he wants, it’s also comforting for him to know he is not out there alone.
Answer: to know he is not out there alone
Explain:","Setting limits reassures a child that, even when exploring or testing boundaries, someone cares and watches over him. Thus “to know he is not out there alone” best fits. The other options do not convey the security provided by parental limits.",2,train
"Context: Elinor Ostrom found that there are several factors critical to bringing about stable institutional solutions to the problem of the commons. She pointed out, for instance, that the actors affected by the rules for the use and care of resources must have the right to participate in decisions to change the rules. For that reason, the people who monitor and control the behavior of users should also be users and/or have been given a mandate by all users. This is a significant insight, as it shows that prospects are poor for a centrally directed solution to the problem of the commons coming from a state power in comparison with a local solution for which users assume personal responsibility. Ostrom also emphasizes the importance of democratic decision processes and that all users must be given access to local forums for solving problems and conflicts among themselves. Political institutions at central, regional, and local levels must allow users to devise their own regulations and independently ensure observance.
Answer: participate in decisions to change the rules
Explain:","Elinor Ostrom pointed out that as a solution to the problem of public lands, it is better to have people who actually use those resources make and comply with the rules themselves to monitor and control themselves than central (government) oriented solutions from state power, so participate in decisions to change the rules is most appropriate for the blank.",3,train
"Context: Once we own something, we’re far more likely to overvalue it. In a study conducted at Duke University, students who won basketball tickets in an extremely onerous lottery (one that they had to wait in line to enter for more than a day) said they wouldn’t sell their tickets for less than, on average, $2,400. But students who had waited and hadn’t won said they would only pay, on average, $170 per ticket. Once a student owned the tickets, he or she saw them as being worth much more in the market than they were. In another example, during the housing market crash of 2008, a real estate website conducted a survey to see how homeowners felt the crash affected the price of their homes. 92% of respondents, aware of nearby foreclosures, asserted these had hurt the price of homes in their neighborhood. However, when asked about the price of their own home, 62% believed it had increased.
Answer: overvalue
Explain:","Ownership leads people to assign a higher value to their possessions than the market would, as shown by ticket winners demanding a much higher selling price and homeowners inflating their property’s value despite nearby foreclosures. Only “overvalue” fits this behavior.",2,train
"Context: Research and development for seed improvement has long been a public domain and government activity for the common good. However, private capital started to flow into seed production and took it over as a sector of the economy, creating an artificial split between the two aspects of the seed’s nature: its role as means of production and its role as product. This process gained pace after the invention of hybrid breeding of maize in the late 1920s. Today most maize seed cultivated are hybrids. The companies that sell them are able to keep the distinct parent lines from farmers, and the grain that they produce is not suited for seed saving and replanting. The combination guarantees that farmers will have to buy more seed from the company each season. In the 1990s the extension of patent laws as the only intellectual property rights tool into the area of seed varieties started to create a growing market for private seed companies.
Answer: buy more seed from the company each season
Explain:","Due to hybrid seeds and the patent system, farmers cannot reuse harvested crops as seeds and must purchase new seeds from the company each season. This is a structural feature of the hybrid corn and patented seed market, and it aligns with research findings that state, ""farmers must purchase new corn seed for each growing season because hybrid seeds lack resiliency and repeatable viability over generations.""",3,train
"Context: Jeffrey A. Rodgers, a vice president of a big company, was once taught the simple idea of pausing to refresh. It began when Jeff realized that as he drove home from work each evening his mind was still focused on work­related projects. We all know this feeling. We may have left the office physically, but we are very much still there mentally, as our minds get caught in the endless loop of replaying the events of today and worrying about all the things we need to get done the following day. So now, as he gets to the door of his house, he applies what he calls “the pause that refreshes.” He stops for just a moment. He closes his eyes. He breathes in and out once: deeply and slowly. As he exhales, he lets the work issues fall away. This allows him to walk through the front door to his family with more singleness of purpose. It supports the sentiment attributed to Lao Tzu: “In work, do what you enjoy. In family life, be completely present.”
Answer: lets the work issues fall away
Explain:","Breathing out lets him release work concerns so he can be present; only choice lets the work issues fall away matches that release. The others involve continuing focus on work or feeling tired, which contradict the cleansing pause.",3,train
"Context: At the heart of individualism lies the belief that each individual person constitutes the center of one’s universe. At first glance, this seems to be a view that most people would not openly embrace. We are, after all, frequently told to look out for and care about others. Moreover, no one really likes a person who is obviously self­centered. However, we all have to admit that the tug toward a self­centered life is strong, and this tempts us to hide selfish intentions by using the language of unselfishness. If we are honest, we will admit that many things we claim to do sacrificially or just because they are right are exactly the same actions that bring us personal benefit. With a bit of unbiased examination of our motives, it is hard to deny that we have a strong bias toward our individual interests. Thus, despite what we may say to the contrary, it is not hard to make the case that we are more self­centered than we are willing to admit.
Answer: we are more self­centered than we are willing to admit
Explain:","The passage reveals that people often claim altruistic motives while actually acting out of self­interest, demonstrating that we are more self­centered than we admit. The other options do not address this hidden selfish bias—our interests stem from what we see everyday and there are more ways to serve others than we think misinterpret the focus on self­interest, the boundary between reason and instinct is unclear is unrelated, and we are strongly governed by socially­oriented motivation directly contradicts the idea of individualism.",3,train
"Context: Feedback is usually most effective when you offer it at the earliest opportunity, particularly if your objective is to teach someone a skill. For example, if you are teaching your friend how to make your famous egg rolls, you provide a step-by-step commentary as you watch your pupil. If he makes a mistake, you don’t wait until the egg rolls are finished to tell him that he left out the cabbage. He needs immediate feedback to finish the rest of the sequence successfully.
Answer: For example
Explain:","Before blank (A), the passage explains the general principle that giving feedback as quickly as possible is effective, and after the blank, it provides a specific example of teaching a friend how to make egg rolls. Therefore, ""For example,"" which means ""for instance,"" is the most appropriate choice for the blank.",3,train
"Context: Correlations are powerful because the insights they offer are relatively clear. These insights are often covered up when we bring causality back into the picture. For instance, a used-car dealer supplied data to statisticians to predict which of the vehicles available for purchase at an auction were likely to have problems. A correlation analysis showed that orange-colored cars were far less likely to have defects. Even as we read this, we already think about why it might be so: Are orange-colored car owners likely to be car enthusiasts and take better care of their vehicles? Or, is it because orange-colored cars are more noticeable on the road and therefore less likely to be in accidents, so they’re in better condition when resold? Quickly we are caught in a web of competing causal hypotheses. But our attempts to illuminate things this way only make them cloudier. Correlations exist; we can show them mathematically. We can’t easily do the same for causal links. So we would do well to hold off from trying to explain the reason behind the correlations.
Answer: hold off from trying to explain the reason behind the correlations
Explain:","The passage emphasizes how introducing causality complicates the clarity that correlation provides. It argues that speculating on causes can lead to confusion rather than insight. Thus, the recommendation is to avoid overinterpreting correlations and instead accept them as is, which supports choice hold off from trying to explain the reason behind the correlations. The other choices either contradict the passage’s message or are irrelevant.",2,train
"Context: Problems can be distinguished according to whether they are reasonable or unreasonable. Reasonable problems are of the kind that can be solved in a step-by-step manner. A crossword puzzle is of this nature. Given a sufficient vocabulary, the empty spaces can be filled in one by one. Unreasonable problems, in contrast, cannot be treated this way because the task contains some ‘trick’ or ‘catch’ that must be understood before someone can arrive at a solution.
Answer: in contrast
Explain:","Before blank (A), the passage explains that reasonable problems can be solved step by step, while after the blank, it contrasts this by stating that such an approach does not work for unreasonable problems. Therefore, ""in contrast,"" which clearly highlights the difference between the two, is the most appropriate choice for the blank.",3,train
